
208.67.222.222 , Queries Sent: , Queries Completed: , QPS: , Avg Latency: 
2.228.69.209, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.83.104.251, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.152.156, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.98.128.5, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.238.95.16, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.192.164.130, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.99.218.158, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.192.129.10, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.152.144.41, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.66.155, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.195.164.185, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.88.146.6, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.236.96.140, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.249.137.124, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.192.129.18, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.63.222, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
5.61.216.147, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.113.76.38, Queries Sent: 991, Queries Completed: 929, QPS: 176.070986, Avg Latency: 0.212399
5.249.152.104, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
